"2645","abdykować",abdykuje,abdykuj,abdykować,放棄する,abdicate,denomitive,aorist,0,0
"2646","ablaktować",ablaktuje,ablaktuj,ablaktować,ablact,ablact,denomitive,aorist,0,0
"2647","ablegrować",ablegruje,ablegruj,ablegrować,層,layer,denomitive,aorist,0,0
"2648","abonować",abonuje,abonuj,abonować,申し込む,subscribe,denomitive,aorist,0,0
"2649","abortować",abortuje,abortuj,abortować,アボート,abort,denomitive,aorist,0,0
"2650","abradować",abraduje,abraduj,abradować,abrad,abrad,denomitive,aorist,0,0
"2651","abrogować",abroguje,abroguj,abrogować,廃止する,abrogate,denomitive,aorist,0,0
"2652","absentować",absentuje,absentuj,absentować,不在,absent,denomitive,aorist,0,0
"2653","absolutyzować",absolutyzuje,absolutyzuj,absolutyzować,絶対化する,absolutize,denomitive,aorist,0,0
"2654","absolwować",absolwuje,absolwuj,absolwować,卒業,graduate,denomitive,aorist,0,0
"2655","absorbować",absorbuje,absorbuj,absorbować,吸収する,absorb,denomitive,aorist,0,0
"2656","abstrahować",abstrahuje,abstrahuj,abstrahować,概要,abstract,denomitive,aorist,0,0
"2657","absurdalizować",absurdalizuje,absurdalizuj,absurdalizować,ばかげて,make absurd,denomitive,aorist,0,0
"2658","absztyfikować",absztyfikuje,absztyfikuj,absztyfikować,アスタリスク,asterify,denomitive,aorist,0,0
"2659","adaptować",adaptuje,adaptuj,adaptować,適応する,adapt,denomitive,aorist,0,0
"2660","adiustować",adiustuje,adiustuj,adiustować,調整,adjust,denomitive,aorist,0,0
"2661","adiutantować",adiutantuje,adiutantuj,adiutantować,副官,adjutant,denomitive,aorist,0,0
"2662","administrować",administruje,administruj,administrować,管理する,administer,denomitive,aorist,0,0
"2663","admirować",admiruje,admiruj,admirować,賞賛する,to admire,denomitive,aorist,0,0
"2664","adnotować",adnotuje,adnotuj,adnotować,注釈を付ける,annotate,denomitive,aorist,0,0
"2665","adoptować",adoptuje,adoptuj,adoptować,採用,adopt,denomitive,aorist,0,0
"2666","adorować",adoruje,adoruj,adorować,崇拝します,adore,denomitive,aorist,0,0
"2667","adresować",adresuje,adresuj,adresować,住所,address,denomitive,aorist,0,0
"2668","adsorbować",adsorbuje,adsorbuj,adsorbować,吸着する,adsorb,denomitive,aorist,0,0
"2669","adwokatować",adwokatuje,adwokatuj,adwokatować,提唱する,advocate,denomitive,aorist,0,0
"2670","aerosolować",aerosoluje,aerosoluj,aerosolować,噴射,spray,denomitive,aorist,0,0
"2671","aerozolować",aerozoluje,aerozoluj,aerozolować,エアロゾル化,aerosolize,denomitive,aorist,0,0
"2672","afektować",afektuje,afektuj,afektować,attitudinize,attitudinize,denomitive,aorist,0,0
"2673","afiliować",afiliuje,afiliuj,afiliować,アフィリエイト,affiliate,denomitive,aorist,0,0
