"2","aṅguri",aṅguri,Feminine,3i,アングリ,Anguri
"3","aṅguli",aṅguli,Feminine,3i,指,Fingers
"4","aramati",aramati,Feminine,3i,アルマティ,Armati
"5","aśani",aśani,Feminine,3i,落雷,Thunderbolt
"6","aśri",aśri,Feminine,3i,アシュリ,Ashri
"7","āti",āti,Feminine,3i,アーティ,Aati
"8","ātmaglāni",ātmaglāni,Feminine,3i,自己憐憫,self-pity
"9","iṣṭi",iṣṭi,Feminine,3i,衝動、加速、急いで、招待、注文、発送、探して、追いかけて、努力して、願い、要求、欲望,"impulse, acceleration, hurry, invitation, order, despatch, seeking, going after, endeavouring, wish, request, desire "
"10","ukti",ukti,Feminine,3i,発話,Utterance
"11","utpatti",utpatti,Feminine,3i,元,Origin
"12","unnati",unnati,Feminine,3i,進化,evolution
"13","ūḍhi",ūḍhi,Feminine,3i,持ち運び、持ち込み,"bearing, carrying, bringing"
"14","ūti",ūti,Feminine,3i,組織,Tissue
"15","ūrmi",ūrmi,Feminine,3i,ウルミ,Urmi
"16","ṛti",ṛti,Feminine,3i,妬み,envy
"17","ṛddhi",ṛddhi,Feminine,3i,リッディ,Riddhi
"18","oṣadhi",oṣadhi,Feminine,3i,ハーブ,Herbs
"19","kaṭi",kaṭi,Feminine,3i,ウエスト,Waist
"20","kānti",kānti,Feminine,3i,輝度,Brightness
"21","kukhyāti",kukhyāti,Feminine,3i,汚名,Infamy
"22","krānti",krānti,Feminine,3i,革命,Revolution
"23","klānti",klānti,Feminine,3i,倦怠感,Fatigue
"24","kṣati",kṣati,Feminine,3i,被害、損害,damage
"25","kṣānti",kṣānti,Feminine,3i,耐久,endurance
"26","kṣiti",kṣiti,Feminine,3i,地平線,The horizon
"27","kḷpti",kḷpti,Feminine,3i,クリプティ,Klipti
"28","khani",khani,Feminine,3i,鉱夫,Miners
"29","khāni",khāni,Feminine,3i,私の,Mine
"30","gati",gati,Feminine,3i,ペース,pace
"31","gūrti",gūrti,Feminine,3i,グルティ,Gurti
"32","gṛddhi",gṛddhi,Feminine,3i,貪欲,greed
"33","glāni",glāni,Feminine,3i,グラニ,Glani
"34","caturthīvibhakti",caturthīvibhakti,Feminine,3i,4番目の屈折,fourth_inflection
"35","candrakānti",candrakānti,Feminine,3i,月光,Moonlight
"36","cicchakti",cicchakti,Feminine,3i,精神力,mental power
"37","citti",citti,Feminine,3i,チッティ,Chitti
"38","chadi",chadi,Feminine,3i,チャディ,Chhadi
"39","chardi",chardi,Feminine,3i,粘液,Mucus
"40","jani",jani,Feminine,3i,ジャニ,Jani
"41","jāti",jāti,Feminine,3i,繁殖,breed
"42","jāni",jāni,Feminine,3i,ジャニ,Jani
"43","jīvanmukti",jīvanmukti,Feminine,3i,まだ生きている間の解放,emancipation while still alive
"44","jyoti",jyoti,Feminine,3i,ジョティ,Jyoti
"45","tuṣṭi",tuṣṭi,Feminine,3i,満足,satisfaction
"46","tṛtīyāvibhakti",tṛtīyāvibhakti,Feminine,3i,3番目の屈折,third_inflection
"47","tṛpti",tṛpti,Feminine,3i,満足,Satisfaction
"48","truṭi",truṭi,Feminine,3i,間違い,mistake
"49","tvari",tvari,Feminine,3i,素早く,Quickly
"50","tviṣi",tviṣi,Feminine,3i,ツイシ,Twishi
"51","darvi",darvi,Feminine,3i,ダルヴィ,Darvi
"52","diti",diti,Feminine,3i,ディティ,Diti
"53","dīpāvali",dīpāvali,Feminine,3i,ディワリ,Diwali
"54","dṛṣṭi",dṛṣṭi,Feminine,3i,ヴィジョン,vision
"55","dvitīyāvibhakti",dvitīyāvibhakti,Feminine,3i,2番目の屈折,second_inflection
"56","dhūli",dhūli,Feminine,3i,ほこり,dust
"57","dhṛti",dhṛti,Feminine,3i,忍耐,patience
"58","dhruti",dhruti,Feminine,3i,ドルティ,Dhruti
"59","nakti",nakti,Feminine,3i,ナクティ,Nakti
