"135","abhadra",,1-2,失礼,Rude,
"134","abhakta",,1-2,献身的ではない,Undevoted,
"136","abhinava",,1-2,革新的,Innovative,
"137","abhivṛṣṭa",,1-2,降雨,Rainfall,
"138","abhiṣṭidyumna",,1-2,Abhishtidyumna,Abhishtidyumna,
"140","abhyalaṃkṛta",,1-2,装飾,ornamented,
"139","abhyantarakalpa",,1-2,アビヤンタラカルパ,Abhyantarakalpa,
"133","abjit",,3con,アブジット,Abjit,
"132","abudhna",,1-2,無視する,Ignorant,
"56","acara",,1-2,不変,Immutable,
"62","accha",,1-2,良い,Good,
"57","acira",,1-2,Achir,Achir,
"61","acirau",,4u,あちろう,Achirou,
"63","acyuta",,1-2,Achyut,Achyut,
"79","adara",,1-2,アダール,Adar,
"84","adhama",,1-2,劣る,inferior,
"85","adhara",,1-2,唇,lips,
"86","adhika",,1-2,もっと,More,
"80","aditi",,3i,アディティ,Aditi,
"82","adruh",,3s,Adruh,Adruh,
"83","advaita",,1-2,Advaita,Advaita,
"81","adṛṣṭa",,1-2,隠れた,hidden,
"43","aga",,1-2,8月,Aug,
"44","agada",,1-2,アガド,Agad,
"45","agamya",,1-2,アクセスできません,inaccessible,
"54","agha",,1-2,アガ,Agha,
"50","agnicit",,3con,Agnichit,Agnichit,
"51","agnihotra",,1-2,アグニホトラ,Agnihotra,
"49","agohya",,1-2,見えない,Invisible,
"52","agra",,1-2,ヒント,tip,
"53","agrima",,1-2,次,next,
"48","aguru",,4u,アグル,Aguru,
"47","aguṇa",,1-2,始めた,Agun,
"46","agādha",,1-2,深遠,profound,
"205","ahaṃkārin",,3n,自慢の,Egotistical,
"335","aindava",,1-2,Aindav,Aindav,
"334","aitihāsika",,1-2,歴史的,Historical,
"336","aiśa",,1-2,灰,Ashes,
"64","aja",,1-2,今日,Today,
"65","ajara",,1-2,半開き,Ajar,
"66","ajira",,1-2,アジル,Azir,
"69","ajrya",,1-2,Ajrya,Ajrya,
"70","ajvara",,1-2,熱,Fever,
"68","ajña",,1-2,無視する,Ignorant,
"67","ajīrṇa",,1-2,消化不良,Indigestion,
"8","akampya",,1-2,揺るぎない,Unshakable,
"7","akaniṣṭha",,1-2,劣る,Inferior,
"9","akarmaka",,1-2,イントランジティブ,intransitive,
"10","akarman",,3n,アカルマーン,Akarmaan,
"6","akathita",,1-2,語られない,untold,
"24","akeśa",,1-2,Akesh,Akesh,
"41","akhaṇḍa",,1-2,積分,Integral,
"42","akhila",,1-2,アキル,Akhil,
"15","akiñcana",,1-2,あきんちゃん,Akinchan,
"28","akliṣṭa",,1-2,単純な,Uncomplicated,
"27","aklānta",,1-2,疲れ知らず,tireless,
"26","akrūra",,1-2,Akrur,Akrur,
"25","akta",,1-2,10月,Oct,
"17","akuśala",,1-2,非効率的な,Inefficient,
"14","akāla",,1-2,飢饉,famine,
"11","akāma",,1-2,Akam,Akam,
"12","akāraṇa",,1-2,理由もなく,for no reason,
"13","akārya",,1-2,動作不能,Inoperable,
"16","akīrtikara",,1-2,恥ずべき,Disgraceful,
"18","akūpāra",,1-2,アキュパー,Acupar,
"19","akṛta",,1-2,やり直し,Undone,
"20","akṛtajña",,1-2,恩知らず,ungrateful,
"22","akṛtya",,1-2,非アクティブ,Inactivity,
"21","akṛtārtha",,1-2,満たされていない,Unfulfilled,
"23","akṛṣṭa",,1-2,魅力的でない,unattractive,
"30","akṣama",,1-2,無効にする,disable,
"31","akṣamya",,1-2,許せない,Unforgivable,
"34","akṣara",,1-2,手紙,Letters,
"29","akṣata",,1-2,Akshat,Akshat,
"32","akṣaya",,1-2,無尽蔵,Inexhaustible,
"33","akṣayya",,1-2,無尽蔵,Inexhaustible,
"36","akṣita",,1-2,Akshit,Akshit,
"38","akṣobha",,1-2,乱されていない,unperturbed,
"39","akṣobhya",,1-2,揺るぎない,unshakable,
"37","akṣuṇṇa",,1-2,無傷,Intact,
"35","akṣāra",,1-2,アルファベット,Alphabet,
"40","akṣṇayā",,1-2,アクシャヤ,Akshaya,
"169","alasa",,1-2,怠惰,Laziness,
"168","alaṃkṛta",,1-2,装飾,ornamented,
"170","alpa",,1-2,小さい、若い,"small, little, young",
"171","alpaprāṇa",,1-2,短命,short-lived,
"143","amala",,1-2,アマル,Amal,
"141","amanas",,3con,アマンス,Amans,
"142","amara",,1-2,不滅,Immortal,
"144","amavat",,3con,アマバット,Amavat,
"148","amedhya",,1-2,汚れた,unclean,
"145","amitra",,1-2,アミトラ,Amitra,
"146","amṛta",,1-2,梨,pear,
"147","amṛtā",,1-2,アムリタ,Amrita,
"88","anakṣ",,3s,Anx,Anx,
"91","ananta",,1-2,無限,Infinite,
"90","ananumeya",,1-2,許可されない,Unpermissible,
"92","ananya",,1-2,エクスクルーシブ,exclusive,
"93","anavapṛgṇa",,1-2,説明のつかない,Unexplained,
"87","anaṃta",,1-2,インフィニティ,Infinity,
"89","anaṅga",,1-2,アナン,Anang,
"119","andha",,1-2,盲目,blind,
"113","anedya",,1-2,アネディア,Anedya,
"112","aneka",,1-2,たくさんの,Many,
"100","anindriya",,1-2,無感覚,Insensible,
"101","aniruddha",,1-2,アニルッダ,Aniruddha,
"99","anitya",,1-2,普通でない,unusual,
"120","anna",,1-2,穀物,cereal,
"114","anta",,1-2,終わり,The end,
"115","antama",,1-2,最後のもの,The last one,
"116","antara",,1-2,違い,The difference,
"117","antavat",,3con,ついに,Finally,
"118","antārāṣṭriya",,1-2,国際的,International,
"104","anudātta",,1-2,承諾する,granted,
"103","anuka",,1-2,アヌク,Anuk,
"107","anuloma",,1-2,アヌロム,Anulom,
"106","anumeya",,1-2,許容される,Permissible,
"105","anunāsika",,1-2,鼻,Nasal,
