"4500","dozwolić",dozwol,dozwoli,dozwolić,許可する,allow,4,aorist,0,0
"4501","marudzić",marudz,marudzi,marudzić,余韻,linger,4,aorist,0,0
"4502","nawarstwić",nawarstw,nawarstwi,nawarstwić,築き上げる,build up,4,aorist,0,0
"4503","nawodnić",nawodn,nawodni,nawodnić,水和物,hydrate,4,aorist,0,0
"4504","obezwładnić",obezwładn,obezwładni,obezwładnić,圧倒,overpower,4,aorist,0,0
"4505","objaśnić",objaśn,objaśni,objaśnić,説明,explain,4,aorist,0,0
"4506","ocieplić",ociepl,ociepli,ocieplić,暖かい,warm,4,aorist,0,0
"4507","oczernić",oczern,oczerni,oczernić,中傷,slander,4,aorist,0,0
"4508","odchwaścić",odchwaśc,odchwaści,odchwaścić,雑草,weed,4,aorist,0,0
"4509","oddalić",oddal,oddali,oddalić,解散,dismiss,4,aorist,0,0
"4510","odjaniepawlić",odjaniepawl,odjaniepawli,odjaniepawlić,散水,watering down,4,aorist,0,0
"4511","odmłodzić",odmłodz,odmłodzi,odmłodzić,若返らせる,rejuvenate,4,aorist,0,0
"4512","odnowić",odnow,odnowi,odnowić,更新する,renew,4,aorist,0,0
"4513","odosobnić",odosobn,odosobni,odosobnić,分ける,separate,4,aorist,0,0
"4514","odrealnić",odrealn,odrealni,odrealnić,非現実的,unreal,4,aorist,0,0
"4515","odtajnić",odtajn,odtajni,odtajnić,分類解除,declassify,4,aorist,0,0
"4516","odwzajemnić",odwzajemn,odwzajemni,odwzajemnić,往復する,reciprocate,4,aorist,0,0
"4517","ogołocić",ogołoc,ogołoci,ogołocić,ストリップ,strip,4,aorist,0,0
"4518","onieśmielić",onieśmiel,onieśmieli,onieśmielić,威嚇する,intimidate,4,aorist,0,0
"4519","opróżnić",opróżn,opróżni,opróżnić,それを空にする,empty it,4,aorist,0,0
"4520","orzeźwić",orzeźw,orzeźwi,orzeźwić,リフレッシュ,refresh,4,aorist,0,0
"4521","osamotnić",osamotn,osamotni,osamotnić,人里離れた,seclude,4,aorist,0,0
"4522","osierocić",osieroc,osieroci,osierocić,孤立する,be orphaned,4,aorist,0,0
"4523","oskrzydlić",oskrzydl,oskrzydli,oskrzydlić,アウトフランク,outflank,4,aorist,0,0
"4524","oswobodzić",oswobodz,oswobodzi,oswobodzić,自由,free,4,aorist,0,0
"4525","oswoić",oswo,oswoi,oswoić,飼いならされた,tame,4,aorist,0,0
"4526","osłabić",osłab,osłabi,osłabić,弱める,weaken,4,aorist,0,0
"4527","oznajmić",oznajm,oznajmi,oznajmić,発表,announce,4,aorist,0,0
"4528","ośmielić",ośmiel,ośmieli,ośmielić,大胆にする,embolden,4,aorist,0,0
"4529","oświetlić",oświetl,oświetli,oświetlić,を明らかにする,illuminate,4,aorist,0,0
"4530","pochlebić",pochleb,pochlebi,pochlebić,よりフラット,flatter,4,aorist,0,0
"4531","podchmielić",podchmiel,podchmieli,podchmielić,うまくいけば,hopefully,4,aorist,0,0
"4532","podgłośnić",podgłośn,podgłośni,podgłośnić,現れる,turn up,4,aorist,0,0
"4533","pogrubić",pogrub,pogrubi,pogrubić,厚くする,thicken,4,aorist,0,0
"4534","poluźnić",poluźn,poluźni,poluźnić,緩む,loosen,4,aorist,0,0
"4535","ponowić",ponow,ponowi,ponowić,繰り返す,repeat,4,aorist,0,0
"4536","poprzedzić",poprzedz,poprzedzi,poprzedzić,先行する,precede,4,aorist,0,0
"4537","pozdrowić",pozdrow,pozdrowi,pozdrowić,挨拶,greet,4,aorist,0,0
"4538","pozwolić",pozwol,pozwoli,pozwolić,させるために,to let,4,aorist,0,0
"4539","poślubić",poślub,poślubi,poślubić,結婚する,marry,4,aorist,0,0
"4540","przedawnić",przedawn,przedawni,przedawnić,期限切れ,expire,4,aorist,0,0
"4541","przejaśnić",przejaśn,przejaśni,przejaśnić,クリア,clear,4,aorist,0,0
"4542","przekabacić",przekabac,przekabaci,przekabacić,変換,convert,4,aorist,0,0
"4543","przekąsić",przekąs,przekąsi,przekąsić,おやつを食べる,have a snack,4,aorist,0,0
"4544","przemycić",przemyc,przemyci,przemycić,密輸します,to smuggle,4,aorist,0,0
"4545","przeobrazić",przeobraz,przeobrazi,przeobrazić,変身,transform,4,aorist,0,0
"4546","przerzedzić",przerzedz,przerzedzi,przerzedzić,減少する,dwindle,4,aorist,0,0
"4547","przeszkodzić",przeszkodz,przeszkodzi,przeszkodzić,邪魔する,to disturb,4,aorist,0,0
"4548","prześwietlić",prześwietl,prześwietli,prześwietlić,X線,x-ray,4,aorist,0,0
"4549","przyfasolić",przyfasol,przyfasoli,przyfasolić,圧倒する,overwhelm,4,aorist,0,0
"4550","przygwoździć",przygwoźdz,przygwoździ,przygwoździć,ピン,pin,4,aorist,0,0
"4551","przymilić",przymil,przymili,przymilić,甘くする,to sweeten,4,aorist,0,0
"4552","przyskrzynić",przyskrzyn,przyskrzyni,przyskrzynić,クラッシュする,to crash,4,aorist,0,0
"4553","przyswoić",przyswo,przyswoi,przyswoić,同化する,assimilate,4,aorist,0,0
"4554","przyszpilić",przyszpil,przyszpili,przyszpilić,それを固定します,pin it down,4,aorist,0,0
"4555","przyzwyczaić",przyzwycza,przyzwyczai,przyzwyczaić,慣れる,accustom,4,aorist,0,0
"4556","rozanielić",rozaniel,rozanieli,rozanielić,魅惑的,ravish,4,aorist,0,0
"4557","rozczulić",rozczul,rozczuli,rozczulić,あなたに感じさせる,make you feel,4,aorist,0,0
"4558","rozdrobnić",rozdrobn,rozdrobni,rozdrobnić,打ち砕く,crush,4,aorist,0,0
"4559","rozgałęzić",rozgałęz,rozgałęzi,rozgałęzić,手を広げる,branch out,4,aorist,0,0
"4560","rozgwieździć",rozgwieźdz,rozgwieździ,rozgwieździć,星空,starry,4,aorist,0,0
"4561","rozjaśnić",rozjaśn,rozjaśni,rozjaśnić,軽くする,lighten,4,aorist,0,0
"4562","rozleniwić",rozleniw,rozleniwi,rozleniwić,あなたを怠惰にする,make you lazy,4,aorist,0,0
"4563","rozluźnić",rozluźn,rozluźni,rozluźnić,リラックス,relax,4,aorist,0,0
"4564","rozochocić",rozochoc,rozochoci,rozochocić,活気づける,enliven,4,aorist,0,0
"4565","rozpogodzić",rozpogodz,rozpogodzi,rozpogodzić,元気を出して,brighten up,4,aorist,0,0
"4566","rozpowszechnić",rozpowszechn,rozpowszechni,rozpowszechnić,広がるために,to spread,4,aorist,0,0
"4567","rozprzestrzenić",rozprzestrzen,rozprzestrzeni,rozprzestrzenić,展開する,spread,4,aorist,0,0
"4568","rozrzedzić",rozrzedz,rozrzedzi,rozrzedzić,間引く,thin out,4,aorist,0,0
"4569","rozsierdzić",rozsierdz,rozsierdzi,rozsierdzić,イライラする,irritate,4,aorist,0,0
"4570","roztkliwić",roztkliw,roztkliwi,roztkliwić,愛し合う,to make love,4,aorist,0,0
"4571","rozwidlić",rozwidl,rozwidli,rozwidlić,フォーク,fork,4,aorist,0,0
"4572","rozwidnić",rozwidn,rozwidni,rozwidnić,点灯,light up,4,aorist,0,0
"4573","rozwodnić",rozwodn,rozwodni,rozwodnić,希釈する,to dilute,4,aorist,0,0
"4574","rozświetlić",rozświetl,rozświetli,rozświetlić,点灯,light up,4,aorist,0,0
"4575","scalić",scal,scali,scalić,マージ,merge,4,aorist,0,0
"4576","schlebić",schleb,schlebi,schlebić,よりフラット,flatter,4,aorist,0,0
"4577","skroplić",skropl,skropli,skroplić,液化,liquefy,4,aorist,0,0
"4578","skundlić",skundl,skundli,skundlić,モングレライズ,mongrelize,4,aorist,0,0
"4579","spopielić",spopiel,spopieli,spopielić,灰,ash,4,aorist,0,0
"4580","spowolnić",spowoln,spowolni,spowolnić,徐行,slow down,4,aorist,0,0
"4581","sprawdzić",sprawdz,sprawdzi,sprawdzić,チェックする,to check,4,aorist,0,0
"4582","spulchnić",spulchn,spulchni,spulchnić,緩む,loosen,4,aorist,0,0
"4583","spóźnić",spóźn,spóźni,spóźnić,遅れる,be late,4,aorist,0,0
"4584","spłycić",spłyc,spłyci,spłycić,浅い,shallow,4,aorist,0,0
"4585","streścić",streśc,streści,streścić,要約する,summarize,4,aorist,0,0
"4586","trafić",traf,trafi,trafić,打つ,hit,4,aorist,0,0
"4587","uaktualnić",uaktualn,uaktualni,uaktualnić,アップデート,update,4,aorist,0,0
"4588","uaktywnić",uaktywn,uaktywni,uaktywnić,活性化,activate,4,aorist,0,0
"4589","uatrakcyjnić",uatrakcyjn,uatrakcyjni,uatrakcyjnić,スパイスアップ,spice up,4,aorist,0,0
"4590","ubóstwić",ubóstw,ubóstwi,ubóstwić,神格化,deify,4,aorist,0,0
"4591","ucieleśnić",ucieleśn,ucieleśni,ucieleśnić,具現化する,to embody,4,aorist,0,0
"4592","uczulić",uczul,uczuli,uczulić,感作する,sensitize,4,aorist,0,0
"4593","udaremnić",udaremn,udaremni,udaremnić,イライラする,frustrate,4,aorist,0,0
"4594","udomowić",udomow,udomowi,udomowić,家畜化,domesticate,4,aorist,0,0
"4595","udostępnić",udostępn,udostępni,udostępnić,共有する,to share,4,aorist,0,0
"4596","udowodnić",udowodn,udowodni,udowodnić,証明,prove,4,aorist,0,0
