"1719","akṣitotis",akṣitoti,Masculine,3i,恒久的な支援を与える,granting permanent help
"1720","agnis",agni,Masculine,3i,火,Fire
"1721","aṅghris",aṅghri,Masculine,3i,アングリ,Anghri
"1722","añcatis",añcati,Masculine,3i,アンチャティ,Anchati
"1723","atithis",atithi,Masculine,3i,ゲスト,guest
"1724","atithipatis",atithipati,Masculine,3i,ゲストハウス,Guesthouse
"1725","atris",atri,Masculine,3i,アトリ,Atri
"1726","adris",adri,Masculine,3i,アドリ,Adri
"1727","adhis",adhi,Masculine,3i,そのほか,besides
"1728","adhipatis",adhipati,Masculine,3i,オーバーロード,Overlord
"1729","araṇis",araṇi,Masculine,3i,アラニ,Arani
"1730","aratnis",aratni,Masculine,3i,アラトニ,Aratni
"1731","aris",ari,Masculine,3i,アリ,Ari
"1732","arcis",arci,Masculine,3i,アーチー,Archie
"1733","alis",ali,Masculine,3i,アリ,Ali
"1734","avis",avi,Masculine,3i,羊、保護者、主、空気、風、山、太陽、壁,"sheep, protector, lord, air, wind, mountain, sun, wall"
"1735","asis",asi,Masculine,3i,あなたは,You are
"1736","ahis",ahi,Masculine,3i,これは,This is
"1737","ājis",āji,Masculine,3i,今日,Today
"1738","ādis",ādi,Masculine,3i,等,etc
"1739","ṛṣis",ṛṣi,Masculine,3i,賢者,The sage
"1740","ṛṣṭis",ṛṣṭi,Masculine,3i,リシュティ,Rishti
"1741","kapis",kapi,Masculine,3i,カピ,Kapi
"1742","karis",kari,Masculine,3i,カレー,Curry
"1743","kalis",kali,Masculine,3i,カリ,Kali
"1744","kavis",kavi,Masculine,3i,詩人,poet
"1745","kāmakelis",kāmakeli,Masculine,3i,カンケリ,Kamkeli
"1746","kikis",kiki,Masculine,3i,キキ,Kiki
"1747","kīkis",kīki,Masculine,3i,キキ,Kiki
"1748","kukṣis",kukṣi,Masculine,3i,腹部,Abdomen
"1749","kṛtis",kṛti,Masculine,3i,作品,The work
"1750","kṛmis",kṛmi,Masculine,3i,ワーム,Worms
